hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
175;162;1522;2;1527;0.94007266;0.94375771;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
176;160;1505;0;1494;0.94150817;0.93374997;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
177;158;1489;0;1483;0.94292790;0.93860757;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
178;156;1472;0;1468;0.94433177;0.94102561;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
179;154;1455;1;1469;0.94571972;0.95451593;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
180;152;1439;2;1430;0.94709158;0.94202900;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
181;150;1422;1;1427;0.94844741;0.95196795;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
182;148;1405;1;1407;0.94978702;0.95131844;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
183;146;1388;0;1389;0.95111036;0.95136988;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
184;144;1371;1;1385;0.95241743;0.96247393;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
185;142;1353;1;1361;0.95370811;0.95912617;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
186;140;1336;0;1339;0.95498228;0.95642859;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
187;138;1319;3;1306;0.95623994;0.94843864;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
188;136;1301;1;1291;0.95748097;0.94996321;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
189;134;1284;2;1282;0.95870537;0.95814651;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
190;132;1266;2;1272;0.95991296;0.96509862;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
191;130;1249;1;1244;0.96110380;0.95765972;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
192;128;1231;0;1225;0.96227771;0.95703125;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
193;126;1213;0;1212;0.96343476;0.96190476;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
194;124;1195;1;1190;0.96457469;0.96045196;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
195;122;1177;2;1181;0.96569765;0.96962231;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
196;120;1160;0;1167;0.96680343;0.97250003;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
197;118;1141;0;1145;0.96789199;0.97033900;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
198;116;1123;2;1128;0.96896333;0.97409326;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
199;114;1105;1;1107;0.97001737;0.97190517;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
200;112;1087;0;1091;0.97105402;0.97410715;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
201;110;1069;1;1063;0.97207326;0.96724296;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
202;108;1050;0;1052;0.97307497;0.97407407;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
203;106;1032;0;1033;0.97405910;0.97452831;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
204;104;1014;1;1014;0.97502571;0.97593838;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
205;102;995;1;994;0.97597462;0.97546613;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
206;100;976;0;972;0.97690582;0.97200000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
207;98;958;0;957;0.97781926;0.97653061;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
208;96;939;1;936;0.97871488;0.97601670;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
209;94;920;0;914;0.97959268;0.97234040;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
210;92;902;1;900;0.98045254;0.97932535;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
211;90;883;0;890;0.98129439;0.98888886;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
212;88;864;1;861;0.98211831;0.97952217;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
213;86;845;1;846;0.98292410;0.98486614;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
214;84;826;0;822;0.98371184;0.97857141;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
215;82;807;1;810;0.98448139;0.98901099;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000
